timestamp,import_price,export_price
2020-01-02 16:30:00+00:00,0.3174,0.1372
2020-01-02 16:45:00+00:00,0.3174,0.1372
2020-01-02 17:00:00+00:00,0.3191,0.1379
2020-01-02 17:15:00+00:00,0.3191,0.1379
2020-01-02 17:30:00+00:00,0.3191,0.1379
2020-01-02 17:45:00+00:00,0.3191,0.1379
2020-01-02 18:00:00+00:00,0.1375,0.0555
2020-01-02 18:15:00+00:00,0.1375,0.0555
2020-01-02 18:30:00+00:00,0.1375,0.0555
2020-01-02 18:45:00+00:00,0.1375,0.0555
2020-01-02 19:00:00+00:00,0.1227,0.0499
2020-01-02 19:15:00+00:00,0.1227,0.0499
2020-01-02 19:30:00+00:00,0.1227,0.0499
2020-01-02 19:45:00+00:00,0.1227,0.0499
2020-01-02 20:00:00+00:00,0.1095,0.0449
2020-01-02 20:15:00+00:00,0.1095,0.0449
2020-01-02 20:30:00+00:00,0.1095,0.0449
2020-01-02 20:45:00+00:00,0.1095,0.0449
2020-01-02 21:00:00+00:00,0.1049,0.0431
2020-01-02 21:15:00+00:00,0.1049,0.0431
2020-01-02 21:30:00+00:00,0.1049,0.0431
2020-01-02 21:45:00+00:00,0.1049,0.0431
2020-01-02 22:00:00+00:00,0.0868,0.0363
2020-01-02 22:15:00+00:00,0.0868,0.0363
2020-01-02 22:30:00+00:00,0.0868,0.0363
2020-01-02 22:45:00+00:00,0.0868,0.0363
2020-01-02 23:00:00+00:00,0.078,0.0329
2020-01-02 23:15:00+00:00,0.078,0.0329
2020-01-02 23:30:00+00:00,0.078,0.0329
2020-01-02 23:45:00+00:00,0.078,0.0329
2020-01-03 00:00:00+00:00,0.057,0.0249
2020-01-03 00:15:00+00:00,0.057,0.0249
2020-01-03 00:30:00+00:00,0.057,0.0249
2020-01-03 00:45:00+00:00,0.057,0.0249
2020-01-03 01:00:00+00:00,0.0282,0.014
2020-01-03 01:15:00+00:00,0.0282,0.014
2020-01-03 01:30:00+00:00,0.0282,0.014
2020-01-03 01:45:00+00:00,0.0282,0.014
2020-01-03 02:00:00+00:00,0.0247,0.0127
2020-01-03 02:15:00+00:00,0.0247,0.0127
2020-01-03 02:30:00+00:00,0.0247,0.0127
2020-01-03 02:45:00+00:00,0.0247,0.0127
2020-01-03 03:00:00+00:00,0.0265,0.0133
2020-01-03 03:15:00+00:00,0.0265,0.0133
2020-01-03 03:30:00+00:00,0.0265,0.0133
